category_type,category,Date,Amount
Savings,Liquid Cash,2021-05-01,37600.0
Savings,Mutual funds,2021-05-01,6000.0
Target,Savings,2021-05-01,0.25
Expense,EMIs,2021-06-01,2600.0
Expense,Groceries & Food,2021-06-01,6000.0
Expense,Health,2021-06-01,1000.0
Expense,House Rent,2021-06-01,10000.0
Expense,Leisure,2021-06-01,1600.0
Expense,Other,2021-06-01,200.0
Expense,Shopping,2021-06-01,1000.0
Expense,Trevel,2021-06-01,200.0
Income,Freelancig,2021-06-01,2000.0
Income,Salary,2021-06-01,60000.0
Savings,Emergency Fund,2021-06-01,2000.0
Savings,Fixed Deposit,2021-06-01,2000.0
Savings,Liquid Cash,2021-06-01,35600.0
Savings,Mutual funds,2021-06-01,6000.0
Target,Savings,2021-06-01,0.25
Expense,EMIs,2021-07-01,2600.0
Expense,Groceries & Food,2021-07-01,6000.0
Expense,Health,2021-07-01,1000.0
Expense,House Rent,2021-07-01,12000.0
Expense,Leisure,2021-07-01,600.0
Expense,Other,2021-07-01,700.0
Expense,Shopping,2021-07-01,1000.0
Expense,Trevel,2021-07-01,200.0
Income,Freelancig,2021-07-01,2000.0
Income,Salary,2021-07-01,60000.0
Savings,Emergency Fund,2021-07-01,2000.0
Savings,Fixed Deposit,2021-07-01,2000.0
Savings,Liquid Cash,2021-07-01,34600.0
Savings,Mutual funds,2021-07-01,6000.0
Target,Savings,2021-07-01,0.25
Expense,EMIs,2021-08-01,2600.0
Expense,Groceries & Food,2021-08-01,6000.0
Expense,Health,2021-08-01,1000.0
Expense,House Rent,2021-08-01,12000.0
Expense,Leisure,2021-08-01,1600.0
Expense,Other,2021-08-01,200.0
Expense,Shopping,2021-08-01,1000.0
Expense,Trevel,2021-08-01,200.0
Income,Freelancig,2021-08-01,1000.0
Income,Salary,2021-08-01,60000.0
Savings,Emergency Fund,2021-08-01,0.0
Savings,Fixed Deposit,2021-08-01,2000.0
Savings,Liquid Cash,2021-08-01,34600.0
Savings,Mutual funds,2021-08-01,6000.0
Target,Savings,2021-08-01,0.25
Expense,EMIs,2021-09-01,6000.0
Expense,Groceries & Food,2021-09-01,6000.0
Expense,Health,2021-09-01,1000.0
Expense,House Rent,2021-09-01,12000.0
Expense,Leisure,2021-09-01,4000.0
Expense,Other,2021-09-01,800.0
Expense,Shopping,2021-09-01,2000.0
Expense,Trevel,2021-09-01,4000.0
Income,Freelancig,2021-09-01,1000.0
Income,Salary,2021-09-01,66000.0
Savings,Emergency Fund,2021-09-01,0.0
Savings,Fixed Deposit,2021-09-01,0.0
Savings,Liquid Cash,2021-09-01,32000.0
Savings,Mutual funds,2021-09-01,6000.0
Target,Savings,2021-09-01,0.25
Expense,EMIs,2021-10-01,6000.0
Expense,Groceries & Food,2021-10-01,6000.0
Expense,Health,2021-10-01,1000.0
Expense,House Rent,2021-10-01,12000.0
Expense,Leisure,2021-10-01,1600.0
Expense,Other,2021-10-01,200.0
Expense,Shopping,2021-10-01,1000.0
Expense,Trevel,2021-10-01,200.0
Income,Freelancig,2021-10-01,1000.0
Income,Salary,2021-10-01,66000.0
Savings,Emergency Fund,2021-10-01,2000.0
Savings,Fixed Deposit,2021-10-01,2000.0
Savings,Liquid Cash,2021-10-01,35200.0
Savings,Mutual funds,2021-10-01,6000.0
Target,Savings,2021-10-01,0.25
Expense,EMIs,2021-11-01,6000.0
Expense,Groceries & Food,2021-11-01,6000.0
Expense,Health,2021-11-01,1000.0
Expense,House Rent,2021-11-01,12000.0
Expense,Leisure,2021-11-01,1600.0
Expense,Other,2021-11-01,133.0
Expense,Shopping,2021-11-01,1000.0
Expense,Trevel,2021-11-01,200.0
Income,Freelancig,2021-11-01,5000.0
Income,Salary,2021-11-01,66000.0
Savings,Emergency Fund,2021-11-01,2000.0
Savings,Fixed Deposit,2021-11-01,0.0
Savings,Liquid Cash,2021-11-01,41200.0
Savings,Mutual funds,2021-11-01,6000.0
Target,Savings,2021-11-01,0.25
Expense,EMIs,2021-12-01,6000.0
Expense,Groceries & Food,2021-12-01,8000.0
Expense,Health,2021-12-01,1000.0
Expense,House Rent,2021-12-01,12000.0
Expense,Leisure,2021-12-01,1600.0
Expense,Other,2021-12-01,200.0
Expense,Shopping,2021-12-01,1000.0
Expense,Trevel,2021-12-01,200.0
Income,Freelancig,2021-12-01,5000.0
Income,Salary,2021-12-01,66000.0
Savings,Emergency Fund,2021-12-01,2000.0
Savings,Fixed Deposit,2021-12-01,0.0
Savings,Liquid Cash,2021-12-01,39200.0
Savings,Mutual funds,2021-12-01,7000.0
Target,Savings,2021-12-01,0.25
Expense,EMIs,2022-01-01,6000.0
Expense,Groceries & Food,2022-01-01,8000.0
Expense,Health,2022-01-01,3000.0
Expense,House Rent,2022-01-01,12000.0
Expense,Leisure,2022-01-01,0.0
Expense,Other,2022-01-01,0.0
Expense,Shopping,2022-01-01,0.0
Expense,Trevel,2022-01-01,0.0
Income,Freelancig,2022-01-01,5000.0
Income,Salary,2022-01-01,70000.0
Savings,Emergency Fund,2022-01-01,2000.0
Savings,Fixed Deposit,2022-01-01,0.0
Savings,Liquid Cash,2022-01-01,44000.0
Savings,Mutual funds,2022-01-01,7000.0
Target,Savings,2022-01-01,0.3
Expense,EMIs,2022-02-01,6000.0
Expense,Groceries & Food,2022-02-01,7000.0
Expense,Health,2022-02-01,1600.0
Expense,House Rent,2022-02-01,12000.0
Expense,Leisure,2022-02-01,0.0
Expense,Other,2022-02-01,0.0
Expense,Shopping,2022-02-01,0.0
Expense,Trevel,2022-02-01,0.0
Income,Freelancig,2022-02-01,5000.0
Income,Salary,2022-02-01,70000.0
Savings,Emergency Fund,2022-02-01,2000.0
Savings,Fixed Deposit,2022-02-01,2000.0
Savings,Liquid Cash,2022-02-01,44400.0
Savings,Mutual funds,2022-02-01,7000.0
Target,Savings,2022-02-01,0.3
Expense,EMIs,2022-03-01,6000.0
Expense,Groceries & Food,2022-03-01,7000.0
Expense,Health,2022-03-01,1600.0
Expense,House Rent,2022-03-01,12000.0
Expense,Leisure,2022-03-01,0.0
Expense,Other,2022-03-01,400.0
Expense,Shopping,2022-03-01,0.0
Expense,Trevel,2022-03-01,0.0
Income,Freelancig,2022-03-01,5000.0
Income,Salary,2022-03-01,70000.0
Savings,Emergency Fund,2022-03-01,2000.0
Savings,Fixed Deposit,2022-03-01,2000.0
Savings,Liquid Cash,2022-03-01,44400.0
Savings,Mutual funds,2022-03-01,7000.0
Target,Savings,2022-03-01,0.3
Expense,EMIs,2022-04-01,6000.0
Expense,Groceries & Food,2022-04-01,7000.0
Expense,Health,2022-04-01,1600.0
Expense,House Rent,2022-04-01,12000.0
Expense,Leisure,2022-04-01,1000.0
Expense,Other,2022-04-01,0.0
Expense,Shopping,2022-04-01,0.0
Expense,Trevel,2022-04-01,0.0
Income,Freelancig,2022-04-01,5000.0
Income,Salary,2022-04-01,70000.0
Savings,Emergency Fund,2022-04-01,2000.0
Savings,Fixed Deposit,2022-04-01,2000.0
Savings,Liquid Cash,2022-04-01,43400.0
Savings,Mutual funds,2022-04-01,7000.0
Target,Savings,2022-04-01,0.3
Expense,EMIs,2022-05-01,6000.0
Expense,Groceries & Food,2022-05-01,7000.0
Expense,Health,2022-05-01,1600.0
Expense,House Rent,2022-05-01,12000.0
Expense,Leisure,2022-05-01,1000.0
Expense,Other,2022-05-01,500.0
Expense,Shopping,2022-05-01,0.0
Expense,Trevel,2022-05-01,0.0
Income,Freelancig,2022-05-01,5000.0
Income,Salary,2022-05-01,70000.0
Savings,Emergency Fund,2022-05-01,2000.0
Savings,Fixed Deposit,2022-05-01,2000.0
Savings,Liquid Cash,2022-05-01,43400.0
Savings,Mutual funds,2022-05-01,7000.0
Target,Savings,2022-05-01,0.3
Expense,EMIs,2022-06-01,6000.0
Expense,Groceries & Food,2022-06-01,7000.0
Expense,Health,2022-06-01,1600.0
Expense,House Rent,2022-06-01,12000.0
Expense,Leisure,2022-06-01,1000.0
Expense,Other,2022-06-01,0.0
Expense,Shopping,2022-06-01,1000.0
Expense,Trevel,2022-06-01,0.0
Income,Freelancig,2022-06-01,5000.0
Income,Salary,2022-06-01,70000.0
Savings,Emergency Fund,2022-06-01,2000.0
Savings,Fixed Deposit,2022-06-01,1000.0
Savings,Liquid Cash,2022-06-01,43400.0
Savings,Mutual funds,2022-06-01,7000.0
Target,Savings,2022-06-01,0.3
Expense,EMIs,2022-07-01,7000.0
Expense,Groceries & Food,2022-07-01,7000.0
Expense,Health,2022-07-01,1600.0
Expense,House Rent,2022-07-01,12000.0
Expense,Leisure,2022-07-01,1600.0
Expense,Other,2022-07-01,200.0
Expense,Shopping,2022-07-01,0.0
Expense,Trevel,2022-07-01,200.0
Income,Freelancig,2022-07-01,5000.0
Income,Salary,2022-07-01,70000.0
Savings,Emergency Fund,2022-07-01,2000.0
Savings,Fixed Deposit,2022-07-01,1000.0
Savings,Liquid Cash,2022-07-01,42600.0
Savings,Mutual funds,2022-07-01,7000.0
Target,Savings,2022-07-01,0.3
Expense,EMIs,2022-08-01,7000.0
Expense,Groceries & Food,2022-08-01,7000.0
Expense,Health,2022-08-01,1600.0
Expense,House Rent,2022-08-01,12000.0
Expense,Leisure,2022-08-01,1600.0
Expense,Other,2022-08-01,170.0
Expense,Shopping,2022-08-01,0.0
Expense,Trevel,2022-08-01,200.0
Income,Freelancig,2022-08-01,5000.0
Income,Salary,2022-08-01,70000.0
Savings,Emergency Fund,2022-08-01,1000.0
Savings,Fixed Deposit,2022-08-01,1000.0
Savings,Liquid Cash,2022-08-01,43600.0
Savings,Mutual funds,2022-08-01,7000.0
Target,Savings,2022-08-01,0.3
Expense,EMIs,2022-09-01,7000.0
Expense,Groceries & Food,2022-09-01,8000.0
Expense,Health,2022-09-01,1600.0
Expense,House Rent,2022-09-01,12000.0
Expense,Leisure,2022-09-01,1600.0
Expense,Other,2022-09-01,184.0
Expense,Shopping,2022-09-01,0.0
Expense,Trevel,2022-09-01,200.0
Income,Freelancig,2022-09-01,4000.0
Income,Salary,2022-09-01,70000.0
Savings,Emergency Fund,2022-09-01,0.0
Savings,Fixed Deposit,2022-09-01,2000.0
Savings,Liquid Cash,2022-09-01,41600.0
Savings,Mutual funds,2022-09-01,7000.0
Target,Savings,2022-09-01,0.3
Expense,EMIs,2022-10-01,7000.0
Expense,Groceries & Food,2022-10-01,8000.0
Expense,Health,2022-10-01,1600.0
Expense,House Rent,2022-10-01,12000.0
Expense,Leisure,2022-10-01,1600.0
Expense,Other,2022-10-01,300.0
Expense,Shopping,2022-10-01,1000.0
Expense,Trevel,2022-10-01,300.0
Income,Freelancig,2022-10-01,4000.0
Income,Salary,2022-10-01,70000.0
Savings,Emergency Fund,2022-10-01,0.0
Savings,Fixed Deposit,2022-10-01,0.0
Savings,Liquid Cash,2022-10-01,42500.0
Savings,Mutual funds,2022-10-01,7000.0
Target,Savings,2022-10-01,0.3
Expense,EMIs,2022-11-01,7000.0
Expense,Groceries & Food,2022-11-01,8000.0
Expense,Health,2022-11-01,1600.0
Expense,House Rent,2022-11-01,16000.0
Expense,Leisure,2022-11-01,1600.0
Expense,Other,2022-11-01,300.0
Expense,Shopping,2022-11-01,1000.0
Expense,Trevel,2022-11-01,300.0
Income,Freelancig,2022-11-01,4000.0
Income,Salary,2022-11-01,70000.0
Savings,Emergency Fund,2022-11-01,0.0
Savings,Fixed Deposit,2022-11-01,0.0
Savings,Liquid Cash,2022-11-01,38500.0
Savings,Mutual funds,2022-11-01,7000.0
Target,Savings,2022-11-01,0.3
Expense,EMIs,2022-12-01,7000.0
Expense,Groceries & Food,2022-12-01,10000.0
Expense,Health,2022-12-01,3000.0
Expense,House Rent,2022-12-01,16000.0
Expense,Leisure,2022-12-01,1600.0
Expense,Other,2022-12-01,164.0
Expense,Shopping,2022-12-01,2000.0
Expense,Trevel,2022-12-01,300.0
Income,Freelancig,2022-12-01,4000.0
Income,Salary,2022-12-01,70000.0
Savings,Emergency Fund,2022-12-01,0.0
Savings,Fixed Deposit,2022-12-01,0.0
Savings,Liquid Cash,2022-12-01,34100.0
Savings,Mutual funds,2022-12-01,0.0
Target,Savings,2022-12-01,0.3
Expense,EMIs,2023-01-01,10000.0
Expense,Groceries & Food,2023-01-01,10000.0
Expense,Health,2023-01-01,3000.0
Expense,House Rent,2023-01-01,16000.0
Expense,Leisure,2023-01-01,1600.0
Expense,Other,2023-01-01,0.0
Expense,Shopping,2023-01-01,2000.0
Expense,Trevel,2023-01-01,300.0
Income,Freelancig,2023-01-01,4000.0
Income,Salary,2023-01-01,75000.0
Savings,Emergency Fund,2023-01-01,0.0
Savings,Fixed Deposit,2023-01-01,0.0
Savings,Liquid Cash,2023-01-01,36100.0
Savings,Mutual funds,2023-01-01,7000.0
Target,Savings,2023-01-01,0.3
Expense,EMIs,2023-02-01,10000.0
Expense,Groceries & Food,2023-02-01,10000.0
Expense,Health,2023-02-01,3000.0
Expense,House Rent,2023-02-01,16000.0
Expense,Leisure,2023-02-01,1600.0
Expense,Other,2023-02-01,300.0
Expense,Shopping,2023-02-01,2000.0
Expense,Trevel,2023-02-01,300.0
Income,Freelancig,2023-02-01,4000.0
Income,Salary,2023-02-01,75000.0
Savings,Emergency Fund,2023-02-01,0.0
Savings,Fixed Deposit,2023-02-01,0.0
Savings,Liquid Cash,2023-02-01,36100.0
Savings,Mutual funds,2023-02-01,7000.0
Target,Savings,2023-02-01,0.3
Expense,EMIs,2023-03-01,10000.0
Expense,Groceries & Food,2023-03-01,10000.0
Expense,Health,2023-03-01,3000.0
Expense,House Rent,2023-03-01,16000.0
Expense,Leisure,2023-03-01,1600.0
Expense,Other,2023-03-01,300.0
Expense,Shopping,2023-03-01,600.0
Expense,Trevel,2023-03-01,300.0
Income,Freelancig,2023-03-01,4000.0
Income,Salary,2023-03-01,75000.0
Savings,Emergency Fund,2023-03-01,0.0
Savings,Fixed Deposit,2023-03-01,0.0
Savings,Liquid Cash,2023-03-01,37500.0
Savings,Mutual funds,2023-03-01,7000.0
Target,Savings,2023-03-01,0.3
Expense,EMIs,2023-04-01,10000.0
Expense,Groceries & Food,2023-04-01,8000.0
Expense,Health,2023-04-01,3000.0
Expense,House Rent,2023-04-01,16000.0
Expense,Leisure,2023-04-01,1600.0
Expense,Other,2023-04-01,300.0
Expense,Shopping,2023-04-01,2000.0
Expense,Trevel,2023-04-01,300.0
Income,Freelancig,2023-04-01,4000.0
Income,Salary,2023-04-01,75000.0
Savings,Emergency Fund,2023-04-01,0.0
Savings,Fixed Deposit,2023-04-01,0.0
Savings,Liquid Cash,2023-04-01,38100.0
Savings,Mutual funds,2023-04-01,7000.0
Target,Savings,2023-04-01,0.3
Expense,EMIs,2023-05-01,10000.0
Expense,Groceries & Food,2023-05-01,8000.0
Expense,Health,2023-05-01,3000.0
Expense,House Rent,2023-05-01,16000.0
Expense,Leisure,2023-05-01,1600.0
Expense,Other,2023-05-01,200.0
Expense,Shopping,2023-05-01,2000.0
Expense,Trevel,2023-05-01,300.0
Income,Freelancig,2023-05-01,4000.0
Income,Salary,2023-05-01,75000.0
Savings,Emergency Fund,2023-05-01,2000.0
Savings,Fixed Deposit,2023-05-01,0.0
Savings,Liquid Cash,2023-05-01,36100.0
Savings,Mutual funds,2023-05-01,7000.0
Target,Savings,2023-05-01,0.3
Expense,EMIs,2023-06-01,10000.0
Expense,Groceries & Food,2023-06-01,8000.0
Expense,Health,2023-06-01,3000.0
Expense,House Rent,2023-06-01,16000.0
Expense,Leisure,2023-06-01,600.0
Expense,Other,2023-06-01,90.0
Expense,Shopping,2023-06-01,0.0
Expense,Trevel,2023-06-01,200.0
Income,Freelancig,2023-06-01,4000.0
Income,Salary,2023-06-01,75000.0
Savings,Emergency Fund,2023-06-01,0.0
Savings,Fixed Deposit,2023-06-01,2000.0
Savings,Liquid Cash,2023-06-01,39200.0
Savings,Mutual funds,2023-06-01,7000.0
Target,Savings,2023-06-01,0.3
Expense,EMIs,2023-07-01,10000.0
Expense,Groceries & Food,2023-07-01,10000.0
Expense,Health,2023-07-01,3000.0
Expense,House Rent,2023-07-01,16000.0
Expense,Leisure,2023-07-01,1600.0
Expense,Other,2023-07-01,200.0
Expense,Shopping,2023-07-01,3000.0
Expense,Trevel,2023-07-01,200.0
Income,Freelancig,2023-07-01,7000.0
Income,Salary,2023-07-01,75000.0
Savings,Emergency Fund,2023-07-01,1000.0
Savings,Fixed Deposit,2023-07-01,0.0
Savings,Liquid Cash,2023-07-01,37200.0
Savings,Mutual funds,2023-07-01,7000.0
Target,Savings,2023-07-01,0.3
Expense,EMIs,2023-08-01,10000.0
Expense,Groceries & Food,2023-08-01,10000.0
Expense,Health,2023-08-01,3000.0
Expense,House Rent,2023-08-01,16000.0
Expense,Leisure,2023-08-01,3000.0
Expense,Other,2023-08-01,600.0
Expense,Shopping,2023-08-01,2000.0
Expense,Trevel,2023-08-01,600.0
Income,Freelancig,2023-08-01,7000.0
Income,Salary,2023-08-01,75000.0
Savings,Emergency Fund,2023-08-01,1000.0
Savings,Fixed Deposit,2023-08-01,0.0
Savings,Liquid Cash,2023-08-01,36400.0
Savings,Mutual funds,2023-08-01,7000.0
Target,Savings,2023-08-01,0.3
Expense,EMIs,2023-09-01,10000.0
Expense,Groceries & Food,2023-09-01,10000.0
Expense,Health,2023-09-01,3000.0
Expense,House Rent,2023-09-01,16000.0
Expense,Leisure,2023-09-01,1600.0
Expense,Other,2023-09-01,800.0
Expense,Shopping,2023-09-01,2000.0
Expense,Trevel,2023-09-01,200.0
Income,Freelancig,2023-09-01,7000.0
Income,Salary,2023-09-01,75000.0
Savings,Emergency Fund,2023-09-01,1000.0
Savings,Fixed Deposit,2023-09-01,2000.0
Savings,Liquid Cash,2023-09-01,36200.0
Savings,Mutual funds,2023-09-01,7000.0
Target,Savings,2023-09-01,0.3
Expense,EMIs,2023-10-01,10000.0
Expense,Groceries & Food,2023-10-01,8000.0
Expense,Health,2023-10-01,3000.0
Expense,House Rent,2023-10-01,16000.0
Expense,Leisure,2023-10-01,1600.0
Expense,Other,2023-10-01,200.0
Expense,Shopping,2023-10-01,2000.0
Expense,Trevel,2023-10-01,200.0
Income,Freelancig,2023-10-01,6000.0
Income,Salary,2023-10-01,75000.0
Savings,Emergency Fund,2023-10-01,1000.0
Savings,Fixed Deposit,2023-10-01,2000.0
Savings,Liquid Cash,2023-10-01,37200.0
Savings,Mutual funds,2023-10-01,7000.0
Target,Savings,2023-10-01,0.3
Expense,EMIs,2023-11-01,12000.0
Expense,Groceries & Food,2023-11-01,10000.0
Expense,Health,2023-11-01,3000.0
Expense,House Rent,2023-11-01,16000.0
Expense,Leisure,2023-11-01,1600.0
Expense,Other,2023-11-01,200.0
Expense,Shopping,2023-11-01,2000.0
Expense,Trevel,2023-11-01,200.0
Income,Freelancig,2023-11-01,6000.0
Income,Salary,2023-11-01,75600.0
Savings,Emergency Fund,2023-11-01,2000.0
Savings,Fixed Deposit,2023-11-01,2600.0
Savings,Liquid Cash,2023-11-01,32200.0
Savings,Mutual funds,2023-11-01,8000.0
Target,Savings,2023-11-01,0.3
Expense,EMIs,2023-12-01,12000.0
Expense,Groceries & Food,2023-12-01,10000.0
Expense,Health,2023-12-01,4000.0
Expense,House Rent,2023-12-01,16000.0
Expense,Leisure,2023-12-01,1600.0
Expense,Other,2023-12-01,400.0
Expense,Shopping,2023-12-01,3000.0
Expense,Trevel,2023-12-01,200.0
Income,Freelancig,2023-12-01,6000.0
Income,Salary,2023-12-01,75600.0
Savings,Emergency Fund,2023-12-01,1000.0
Savings,Fixed Deposit,2023-12-01,2600.0
Savings,Liquid Cash,2023-12-01,31200.0
Savings,Mutual funds,2023-12-01,8000.0
Target,Savings,2023-12-01,0.3
Expense,EMIs,2024-01-01,12000.0
Expense,Groceries & Food,2024-01-01,9000.0
Expense,Health,2024-01-01,3000.0
Expense,House Rent,2024-01-01,16000.0
Expense,Leisure,2024-01-01,1600.0
Expense,Other,2024-01-01,200.0
Expense,Shopping,2024-01-01,3000.0
Expense,Trevel,2024-01-01,200.0
Income,Freelancig,2024-01-01,6000.0
Income,Salary,2024-01-01,75600.0
Savings,Emergency Fund,2024-01-01,3000.0
Savings,Fixed Deposit,2024-01-01,2600.0
Savings,Liquid Cash,2024-01-01,31200.0
Savings,Mutual funds,2024-01-01,8000.0
Target,Savings,2024-01-01,0.3
Expense,EMIs,2024-02-01,12000.0
Expense,Groceries & Food,2024-02-01,9000.0
Expense,Health,2024-02-01,3000.0
Expense,House Rent,2024-02-01,16000.0
Expense,Leisure,2024-02-01,1600.0
Expense,Other,2024-02-01,450.0
Expense,Shopping,2024-02-01,2000.0
Expense,Trevel,2024-02-01,200.0
Income,Freelancig,2024-02-01,6000.0
Income,Salary,2024-02-01,75600.0
Savings,Emergency Fund,2024-02-01,3000.0
Savings,Fixed Deposit,2024-02-01,2600.0
Savings,Liquid Cash,2024-02-01,31750.0
Savings,Mutual funds,2024-02-01,8000.0
Target,Savings,2024-02-01,0.3
